term,definition,link,introduced_by_card_id
Quality attribute,"A non-functional goal architecture exists to serve -- things like scalability, reliability, and maintainability, as opposed to a specific feature the software does.",,11
ADR,"Short for architectural decision record -- a written note capturing why a major architecture decision was made, so a future team member (including you) understands the reasoning later instead of just seeing the result.",,16
Monolith,"An application that deploys and runs as one single unit -- simple to start with, but changes get harder to make safely as it grows larger.",,26
Microservices,"An architecture style that splits a system into small, independently deployable services, so each one can be built, deployed, and scaled on its own -- at the cost of some of the simplicity a single monolith has.",,36
Serverless,"A style where your code runs as short-lived functions triggered by events, and a cloud platform handles running and scaling them -- you never manage the underlying servers yourself.",,51
Modular monolith,"A single deployable application, like a plain monolith, but with strict boundaries enforced between its internal modules so they can't become tangled together.",,56
Hexagonal architecture,"Also called ports and adapters -- a style that isolates a system's core logic from the outside world, letting it talk out only through defined ports, so pieces like the database can be swapped without touching the core.",,61
Clean Architecture,"A style of concentric layers with business rules at the very center, where every dependency points inward toward that center rather than outward toward infrastructure.",,66
Separation of concerns,"A design principle that keeps each distinct responsibility in its own independent part of a system, instead of tangling unrelated responsibilities together in the same place.",,76
Coupling,"How tangled two parts of a system are with each other -- high coupling means a change in one part tends to force changes in the other, which good design tries to keep low.",,81
Cohesion,"How focused a single part of a system stays on one clear job -- high cohesion is what good design aims for, alongside low coupling.",,81
SOLID,"A set of five widely referenced guidelines for object-oriented design -- Single responsibility, Open/closed, Liskov substitution, Interface segregation, and Dependency inversion -- aimed at making code easier to extend and maintain over time.",,86
Domain-driven design,"Often shortened to DDD -- an approach that models software around the real business domain, keeping the code's vocabulary close to the language domain experts actually use.",,91
Bounded context,A clear boundary drawn around where one specific model and its terms apply -- useful because the same word (like 'order') can mean something different in another part of the system.,,96
CQRS,"Short for Command Query Responsibility Segregation -- splitting the model used to read data from the model used to change it, so each side can be optimized separately for its own job.",,101
Event sourcing,"A design approach that stores every change to data as an event, instead of just overwriting the current state, so the full history can always be replayed.",,106
Synchronous communication,"A way of calling another service where the caller waits for an immediate reply before moving on, unlike asynchronous communication which doesn't wait.",,111
Asynchronous communication,"A way of calling another service where the caller fires something off and moves on immediately, without waiting for a reply.",,112
REST,"An API design style that organizes endpoints around resources, uses HTTP verbs like GET and POST for actions on them, and returns a status code with every response.",https://en.wikipedia.org/wiki/REST,116
Message queue,"A durable middleman that sits between a sender and a receiver, holding messages so the sender doesn't need the receiver to be online right now.",,121
API gateway,"A single front door that routes incoming requests to many backend services, and often protects those services too (e.g. authentication, rate limiting).",,126
Service discovery,"A mechanism that automatically finds another service's current network address, without a manual lookup -- needed because addresses change as service instances start and stop.",,131
Database per service,"A pattern where each service owns and stores its own data privately, instead of several services sharing one database -- it keeps services independent at the cost of some simplicity a shared database offers at first.",,136
Strong consistency,"A guarantee that every reader sees the latest write immediately after it happens, as opposed to eventual consistency where readers only catch up later.",,141
Eventual consistency,"A guarantee that readers will eventually see the latest write, but not necessarily right away -- trading immediate accuracy for other benefits like availability.",,142
Cache,"A stored copy of data kept somewhere faster to reach than its original source, trading a small risk of that copy going stale for a real gain in speed.",,146
CAP theorem,"The rule that during a network split, a distributed system can only fully guarantee two of consistency, availability, and partition tolerance at once -- never all three.",https://en.wikipedia.org/wiki/CAP_theorem,151
Horizontal scaling,"Handling more load by adding more machines to share the work, as opposed to vertical scaling which makes one existing machine bigger.",,156
Vertical scaling,"Handling more load by making one existing machine bigger (more CPU/memory), as opposed to horizontal scaling which adds more machines.",,157
Load balancer,"A component that spreads incoming traffic across multiple servers, so no single server gets overwhelmed while others sit idle.",,161
Circuit breaker,"A pattern that stops calls to a service after it fails repeatedly, instead of letting failed calls keep piling up -- it later allows a trial call through to check if the service has recovered.",,166
Backoff,"A retry strategy where the delay between repeated attempts keeps growing (e.g. 1s, then 2s, then 4s, then 8s -- doubling each time), so retries don't hammer a struggling service with requests in rapid succession.",,171
Rate limiting,"Capping how many requests one client can make within a given time window, to protect a service from being overloaded by any single source.",,176
Observability,"The general ability to understand what a running system is actually doing, built from three main signals: logs, metrics, and traces.",,182
Logs,"One of the three observability signals -- records of discrete events that happened in a system, each a standalone entry (e.g. 'user 42 logged in at 10:03am').",,182
Metrics,"One of the three observability signals -- numeric measurements tracked over time, like request count or CPU usage.",,182
Traces,"One of the three observability signals -- records that follow a single request as it travels across multiple services, showing where time was spent (e.g. one checkout request as it passes through the API gateway, the payment service, and the database).",,182
C4 model,"A way of documenting architecture using four zoom levels -- context, container, component, and code -- each zooming in further from the broadest view to the most detailed.",https://c4model.com/,191
