id,title,description,min_level,section,image,section_image
1,What Software Architecture Actually Is,The high-level structure of a system and the decisions that are hard to change later.,1,Foundations,unit1.png,
2,Architecture vs Design vs Code,"Three zoom levels of the same system, from broad structure down to individual lines.",1,Foundations,unit2.png,
3,"Quality Attributes (the ""-ilities"")","Scalability, reliability, maintainability — the non-functional goals architecture actually serves.",1,Foundations,unit3.png,
4,Architectural Decision Records,"Writing down why a major decision was made, so future you remembers the reasoning.",1,Foundations,unit4.png,
5,Identifying Architecture Stakeholders,The different people whose concerns an architecture has to satisfy at once.,1,Foundations,unit5.png,
6,Monolithic Architecture,One deployable unit containing the whole application.,1,Architectural Styles,unit6.png,
7,Layered (N-Tier) Architecture,"Organizing code into horizontal layers like presentation, business logic, and data.",1,Architectural Styles,unit7.png,
8,Microservices Architecture,"Splitting a system into small, independently deployable services.",1,Architectural Styles,unit8.png,
9,Event-Driven Architecture,Services reacting to events instead of calling each other directly.,1,Architectural Styles,unit9.png,
10,Service-Oriented Architecture,"An earlier style of building systems from reusable, well-defined services.",1,Architectural Styles,unit10.png,
11,Serverless Architecture,Running code as short-lived functions without managing the underlying servers.,1,Architectural Styles,unit11.png,
12,Modular Monolith,A single deployable app with strict internal boundaries between its modules.,1,Architectural Styles,unit12.png,
13,Hexagonal (Ports & Adapters) Architecture,Keeping core logic isolated from the outside world through defined ports.,1,Architectural Styles,unit13.png,
14,Clean Architecture,Concentric layers where dependencies always point inward toward business rules.,1,Architectural Styles,unit14.png,
15,Pipe-and-Filter Architecture,Data flowing through a chain of independent processing steps.,1,Architectural Styles,unit15.png,
16,Separation of Concerns,"Keeping distinct responsibilities in distinct, independent parts of a system.",1,Design Principles,unit16.png,
17,Coupling and Cohesion,"How tangled parts are with each other, and how focused each part is on its own job.",1,Design Principles,unit17.png,
18,SOLID Principles Overview,"Five widely referenced object-oriented design guidelines, in one quick pass.",1,Design Principles,unit18.png,
19,Domain-Driven Design Basics,Modeling software around the real business domain and its own language.,1,Design Principles,unit19.png,
20,Bounded Contexts,Drawing a clear boundary around where a specific model and its terms apply.,1,Design Principles,unit20.png,
21,CQRS,Splitting the model used to read data from the model used to change it.,1,Design Principles,unit21.png,
22,Event Sourcing,Storing every change as an event instead of just the current state.,1,Design Principles,unit22.png,
23,Synchronous vs Asynchronous Communication,"Waiting for an immediate reply, versus firing something off and moving on.",1,Communication and Integration,unit23.png,
24,REST API Design Basics,"Resources, verbs, and status codes — the shape of a typical REST API.",1,Communication and Integration,unit24.png,
25,Message Queues and Brokers,Passing messages between services through a durable middleman instead of directly.,1,Communication and Integration,unit25.png,
26,API Gateways,"One front door that routes, and often protects, requests to many backend services.",1,Communication and Integration,unit26.png,
27,Service Discovery,How a service finds the current network address of another service automatically.,1,Communication and Integration,unit27.png,
28,Database per Service vs Shared Database,"Whether each service owns its own data, or several services share one database.",1,Data Architecture,unit28.png,
29,Consistency Models: Strong vs Eventual,"Whether every reader sees the latest write immediately, or only eventually.",1,Data Architecture,unit29.png,
30,Caching Strategies,Storing a copy of data somewhere faster to reach than its original source.,1,Data Architecture,unit30.png,
31,The CAP Theorem,Why a distributed system can't fully guarantee consistency and availability during a network split.,1,Data Architecture,unit31.png,
32,Horizontal vs Vertical Scaling,"Adding more machines, versus making one machine bigger.",1,Scalability and Resilience,unit32.png,
33,Load Balancing Basics,Spreading incoming traffic across multiple servers instead of overloading one.,1,Scalability and Resilience,unit33.png,
34,The Circuit Breaker Pattern,Stopping calls to a failing service temporarily instead of piling up more failures.,1,Scalability and Resilience,unit34.png,
35,Retry and Backoff Strategies,"Trying a failed request again, with growing delays instead of hammering it repeatedly.",1,Scalability and Resilience,unit35.png,
36,Rate Limiting,Capping how many requests a client can make in a given window of time.,1,Scalability and Resilience,unit36.png,
37,"Observability: Logs, Metrics, Traces",The three main signals that let you understand what a running system is actually doing.,1,Cross-Cutting Concerns,unit37.png,
38,Security in Architecture,"Designing access, boundaries, and trust into a system from the start, not bolted on later.",1,Cross-Cutting Concerns,unit38.png,
39,Documenting Architecture (the C4 Model),"Four zoom levels — context, container, component, code — for diagramming a system.",1,Cross-Cutting Concerns,unit39.png,
40,Making Architecture Trade-offs,Every architectural choice gains something and gives something up; naming that trade honestly.,1,Cross-Cutting Concerns,unit40.png,
